                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.00276,                0.87417,                0.99338,                0.65109,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00275,                0.84106,                0.99338,                0.65196,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00269,                0.84768,                0.99338,                0.65182,             0.00026161,             0.00026161,             0.00026161
                     67,                0.00273,                0.84106,                0.99338,                0.65034,             0.00025454,             0.00025454,             0.00025454
                     68,                0.00275,                 0.8543,                0.99338,                 0.6492,             0.00024747,             0.00024747,             0.00024747
                     69,                0.00282,                 0.8543,                0.99338,                0.64679,              0.0002404,              0.0002404,              0.0002404
                     70,                0.00279,                0.83444,                0.98675,                 0.6548,             0.00023334,             0.00023334,             0.00023334
                     71,                0.00267,                0.83444,                0.98675,                0.65433,             0.00022627,             0.00022627,             0.00022627
                     72,                0.00277,                0.84106,                0.98675,                0.65288,              0.0002192,              0.0002192,              0.0002192
                     73,                0.00264,                0.86093,                0.98675,                0.65079,             0.00021213,             0.00021213,             0.00021213
                     74,                 0.0026,                 0.8543,                0.98675,                0.65113,             0.00020506,             0.00020506,             0.00020506
                     75,                 0.0026,                0.86093,                0.98675,                0.64876,             0.00019799,             0.00019799,             0.00019799
                     76,                0.00259,                 0.8543,                0.98675,                0.64906,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00254,                0.83444,                0.98675,                 0.6488,             0.00018385,             0.00018385,             0.00018385
                     78,                0.00247,                 0.8543,                0.98675,                0.64811,             0.00017679,             0.00017679,             0.00017679
                     79,                0.00256,                0.84768,                0.98675,                 0.6491,             0.00016972,             0.00016972,             0.00016972
                     80,                0.00247,                0.82781,                0.98675,                0.64905,             0.00016265,             0.00016265,             0.00016265
                     81,                0.00249,                0.82119,                0.98675,                0.65019,             0.00015558,             0.00015558,             0.00015558
                     82,                0.00248,                0.83444,                0.98675,                0.65376,             0.00014851,             0.00014851,             0.00014851
                     83,                0.00243,                0.83444,                0.98675,                0.65385,             0.00014144,             0.00014144,             0.00014144
                     84,                0.00248,                0.84106,                0.99338,                0.65084,             0.00013437,             0.00013437,             0.00013437
                     85,                0.00239,                0.83444,                0.98675,                0.65245,             0.00012731,             0.00012731,             0.00012731
                     86,                 0.0024,                0.82781,                0.98675,                0.65284,             0.00012024,             0.00012024,             0.00012024
                     87,                0.00239,                0.80795,                0.99338,                0.65304,             0.00011317,             0.00011317,             0.00011317
                     88,                0.00237,                0.83444,                0.99338,                0.65331,              0.0001061,              0.0001061,              0.0001061
                     89,                0.00232,                0.82119,                0.99338,                 0.6531,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.00231,                0.82781,                0.99338,                0.65247,             9.1963e-05,             9.1963e-05,             9.1963e-05
